Date,Vpost,pic,Value,kTum,PPP,DPM,AES
2021-05-01,105960.0,56652.818,1.87034,1.78583,78805.70757,0.03508,0.20039
2021-06-01,105300.0,59300.008,1.77572,1.69642,79093.48092,0.08005,0.21031
2021-07-01,102350.0,62075.245,1.64881,1.57131,81208.26035,0.11573,0.29533
2021-08-01,101356.97112,62449.121,1.62303,1.55811,81232.77612,0.11894,0.17042
2021-09-01,103488.61255,64167.877,1.61278,1.54827,84151.27839,0.04926,0.11842
2021-10-01,104572.21151,67622.795,1.5464,1.48455,90156.16994,0.01298,0.09788
2021-11-01,101898.23204,72430.541,1.40684,1.35057,96333.0883,0.02108,0.11102
2021-12-01,98741.76595,77892.652,1.26766,1.21696,103455.92993,0.02212,0.11438
2022-01-01,100201.85414,75711.343,1.32347,1.27053,102589.59083,0.02248,0.07987
2022-02-01,102276.16966,72851.082,1.40391,1.34775,101167.20414,0.03093,0.12822
2022-03-01,104991.76515,71399.232,1.47049,1.41167,98060.59551,0.05653,0.07471
2022-04-01,106172.0944,62916.086,1.68752,1.62002,88909.88685,0.0231,0.0963
2022-05-01,103793.12224,58728.744,1.76733,1.69664,81981.13777,0.02171,0.11019
2022-06-01,107498.51606,56782.34,1.89317,1.81744,78594.60948,0.03054,0.10439
2022-07-01,105207.39061,58249.037,1.80617,1.73392,79303.96286,0.07234,0.13873
2022-08-01,101257.83483,61781.2,1.63897,1.57342,82419.82028,0.09384,0.13724
2022-09-01,105580.54286,60571.026,1.74309,1.67336,83358.44137,0.07253,0.08872
2022-10-01,104379.28133,64255.457,1.62444,1.55946,88191.38266,0.09646,0.09184
2022-11-01,105199.65411,70119.652,1.50029,1.44028,96678.19064,0.05755,0.08057
2022-12-01,102049.46934,74432.173,1.37104,1.3162,103471.43412,0.07439,0.09923
2023-01-01,,,,,,,
2023-02-01,,,,,,,
2023-03-01,,,,,,,
2023-04-01,,,,,,,
2023-05-01,,,,,,,
2023-06-01,,,,,,,
2023-07-01,,,,,,,
2023-08-01,,,,,,,
2023-09-01,,,,,,,
2023-10-01,,,,,,,
2023-11-01,,,,,,,
2023-12-01,,,,,,,
