iter	RMSE
0	0.1814088169
1	0.1705292217
2	0.1616841824
3	0.1534246474
4	0.1460672854
5	0.1395006569
6	0.1340440538
7	0.1286922689
8	0.124030967
9	0.1198790078
10	0.1161092559
11	0.1132048894
12	0.1101580097
13	0.1076726329
14	0.1050501808
15	0.1028108756
16	0.1010684844
17	0.09923520891
18	0.09770443378
19	0.09645201708
20	0.09530472725
21	0.09415015515
22	0.09305629625
23	0.0921282228
24	0.09118256239
25	0.09025419765
26	0.08971800472
27	0.0889371001
28	0.08849080508
29	0.08784439368
30	0.08725450093
31	0.08671985462
32	0.08625321937
33	0.08525103539
34	0.08435411802
35	0.0840507648
36	0.08359883719
37	0.08339729078
38	0.08300816397
39	0.08244481617
40	0.08218636672
41	0.08188146384
42	0.08156012875
43	0.08140604085
44	0.08121535033
45	0.08098220758
46	0.08059914925
47	0.08032884027
48	0.08013088779
49	0.07998719395
50	0.07967602946
51	0.07918930914
52	0.07855987579
53	0.07825489252
54	0.07780976386
55	0.07749108036
56	0.07710791469
57	0.07668446132
58	0.07651316195
59	0.07640386346
60	0.07617459798
61	0.07605181536
62	0.07574826697
63	0.07554332737
64	0.07518440873
65	0.07496654282
66	0.07466093625
67	0.07448382858
68	0.07431097209
69	0.07421430817
70	0.07412553665
71	0.07397242801
72	0.07375228698
73	0.07365057434
74	0.07355646481
75	0.07346638814
76	0.07329393204
77	0.07322264593
78	0.07315526878
79	0.07309157909
80	0.07303136832
81	0.0729744401
82	0.07292060949
83	0.07286970235
84	0.07274516401
85	0.07269711466
86	0.07265166207
87	0.0726086613
88	0.07256797578
89	0.07252947679
90	0.07241149607
91	0.07225479695
92	0.07171561095
93	0.07152481195
94	0.07148790106
95	0.07145296917
96	0.07134533648
97	0.0708362257
98	0.07080284577
99	0.07069968718
100	0.07033143392
101	0.07015480775
102	0.07012304356
103	0.06965601676
104	0.06962564395
105	0.06952604756
106	0.06936372613
107	0.06926870131
108	0.06882778288
109	0.06879874891
110	0.06864957353
111	0.06855829167
112	0.06789526745
113	0.06780719779
114	0.06777920937
115	0.06765325051
116	0.06762834007
117	0.06749010441
118	0.06688763561
119	0.0668068058
120	0.06669184377
121	0.06666784118
122	0.06634870769
123	0.0662203143
124	0.06604547197
125	0.06602008731
126	0.06591239458
127	0.06588833337
128	0.06561418545
129	0.06547294855
130	0.06517295424
131	0.064861162
132	0.06472681982
133	0.06460019399
134	0.0643513592
135	0.06423143923
136	0.06408117925
137	0.0640596359
138	0.06393790603
139	0.06350147202
